Head,Relation,Tail
Fluclorolone,INTERACTS_WITH,Peginterferon alfa-2b
Hexapropymate,INTERACTS_WITH,Profenamine
Emetine,INTERACTS_WITH,Cyclosporine
Cantharidin 1% / Podophyllum Resin 5% / Salicylic Acid 30%,MANUFACTURED_BY,"Sincerus Florida, LLC"
Phenol,INTERACTS_WITH,"2,5-Dimethoxy-4-ethylthioamphetamine"
Diatrizoate,INTERACTS_WITH,Cefmenoxime
Sacubitril,INTERACTS_WITH,Moexiprilat
Utomilumab,INTERACTS_WITH,Otelixizumab
Zaltoprofen,INTERACTS_WITH,Oxymetazoline
Spectinomycin,INTERACTS_WITH,Warfarin
Polycarbophil,INTERACTS_WITH,Orphenadrine
rhinitis,TREATED_BY,Montelukast
102.28,AVAILABLE_AT,Costco
"Rabies virus inactivated antigen, A",INTERACTS_WITH,Carmustine
Tildrakizumab,INTERACTS_WITH,Rozrolimupab
Urapidil,INTERACTS_WITH,Methadone
Emtricitabine,INTERACTS_WITH,Pamidronic acid
Obinutuzumab,INTERACTS_WITH,Interferon alfa-n1
Fasinumab,INTERACTS_WITH,Ethinylestradiol
Ritobegron,INTERACTS_WITH,Cyclopenthiazide
250.22,AVAILABLE_AT,Walgreens
8-chlorotheophylline,INTERACTS_WITH,Racepinephrine
Vecuronium,INTERACTS_WITH,Azelastine
Nomegestrol acetate,INTERACTS_WITH,Prednylidene
Leuprolide,INTERACTS_WITH,Nateglinide
Glycerin,INTERACTS_WITH,Rociverine
Imipramine oxide,INTERACTS_WITH,Bretylium
Gossypol,INTERACTS_WITH,Cortisone
Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),INTERACTS_WITH,Propylthiouracil
TD-8954,INTERACTS_WITH,Citalopram
Mannitol,INTERACTS_WITH,Kanamycin
Sipuleucel-T,INTERACTS_WITH,Mitomycin
Adasuve,MANUFACTURED_BY,"Alexza Pharmaceuticals, Inc."
glaucoma,TREATED_BY,Diclofenamide
Votrient,MANUFACTURED_BY,Novartis Pharmaceuticals Corporation
Potassium nitrate,IN_PRODUCT,Arm and Hammer Orajel Sensitive Freshening with Flavor Burst
Isepamicin,INTERACTS_WITH,Decamethonium
Tetrabenazine,INTERACTS_WITH,Erythromycin
Rituximab,INTERACTS_WITH,Gemtuzumab ozogamicin
Liotrix,INTERACTS_WITH,Eluxadoline
Isotretinoin,IN_PRODUCT,Claravis
Dantrolene,INTERACTS_WITH,Seletracetam
tonsillitis,TREATED_BY,Clindamycin
Tosylchloramide,INTERACTS_WITH,Troglitazone
Trintellix,HAS_PRICE,374.44
Betamethasone,INTERACTS_WITH,Interferon gamma-1b
Mefloquine,INTERACTS_WITH,Levetiracetam
MetroLotion,HAS_PRICE,72.915
Pagoclone,INTERACTS_WITH,Diphenidol
Tyrothricin,INTERACTS_WITH,Scopolamine
1221.41,AVAILABLE_AT,Rite Aid
Chlorprothixene,INTERACTS_WITH,Dextroamphetamine
274.241,AVAILABLE_AT,Vons Pharmacy
Paroxetine,INTERACTS_WITH,Zolpidem
Rolapitant,INTERACTS_WITH,Mirtazapine
Acetylglycinamide chloral hydrate,INTERACTS_WITH,Biperiden
Proxibarbal,INTERACTS_WITH,Disopyramide
Alcuronium,INTERACTS_WITH,Geneticin
Suvorexant,INTERACTS_WITH,Methohexital
Edge,MANUFACTURED_BY,Sensuous Pty Ltd
Vinflunine,INTERACTS_WITH,Josamycin
Magnesium glycinate,INTERACTS_WITH,Pancuronium
Fusidic acid,INTERACTS_WITH,Atomoxetine
Normosol-R,MANUFACTURED_BY,"Hospira, Inc."
Lymecycline,INTERACTS_WITH,Magnesium salicylate
Frovatriptan,INTERACTS_WITH,Ramipril
Tetrabenazine,INTERACTS_WITH,Octamoxin
Sevoflurane,INTERACTS_WITH,Pentolinium
Pexidartinib,INTERACTS_WITH,Raltegravir
Tolmetin,INTERACTS_WITH,Droperidol
Glucagon,INTERACTS_WITH,Chlorprothixene
Insulin glulisine,INTERACTS_WITH,Butriptyline
Levomilnacipran,INTERACTS_WITH,Efavirenz
Rilmenidine,INTERACTS_WITH,Reserpine
Pantoprazole,INTERACTS_WITH,Relebactam
Epratuzumab,INTERACTS_WITH,Enokizumab
Muraglitazar,INTERACTS_WITH,Propofol
Ifenprodil,INTERACTS_WITH,Debrisoquine
Cangrelor,INTERACTS_WITH,Magnesium salicylate
Feldene,MANUFACTURED_BY,Keltman Pharmaceuticals Inc.
Ubidecarenone,IN_PRODUCT,B.E.T. Complex
Estrone,INTERACTS_WITH,Lucatumumab
Elvitegravir,INTERACTS_WITH,(S)-Warfarin
Ajulemic acid,INTERACTS_WITH,Fesoterodine
Coagulation Factor IX Human,INTERACTS_WITH,Ferulic acid
bacteroides infectious disease,TREATED_BY,Ertapenem
Sacituzumab govitecan,INTERACTS_WITH,Esterified estrogens
Indacaterol,INTERACTS_WITH,Remikiren
Tetracycline,INTERACTS_WITH,Alcuronium
Ciprofloxacin,INTERACTS_WITH,Rasagiline
Atracurium,INTERACTS_WITH,Hygromycin B
Posaconazole,INTERACTS_WITH,Ponatinib
Pidilizumab,INTERACTS_WITH,Ranibizumab
Lithium carbonate,INTERACTS_WITH,Caffeine
Isosorbide,INTERACTS_WITH,Dexamethasone
Etacrynic acid,INTERACTS_WITH,Etodolac
Sirolimus,INTERACTS_WITH,Decitabine
Stanozolol,INTERACTS_WITH,Sotagliflozin
Ferrous gluconate,INTERACTS_WITH,Ranitidine
Hydroxychloroquine,INTERACTS_WITH,Etoposide
Trastuzumab,INTERACTS_WITH,Methotrexate
Cemiplimab,INTERACTS_WITH,Caplacizumab
"3,5-diiodothyropropionic acid",INTERACTS_WITH,Etilefrine
266.945,AVAILABLE_AT,Albertsons (Sav-on)
18.375,AVAILABLE_AT,Vons Pharmacy
Frenna AC,MANUFACTURED_BY,"Dharma Research, Inc."
m-Chlorophenylpiperazine,INTERACTS_WITH,Rufinamide
Oxybenzone,INTERACTS_WITH,Phenylbutazone
Topotecan,IN_PRODUCT,Hycamtin Vial
Ag-metoprolol-L,MANUFACTURED_BY,Angita Pharma Inc.
inflammation,TREATED_BY,Hydrocortisone
Methoxsalen,INTERACTS_WITH,Cefazolin
Quinine,INTERACTS_WITH,Dirithromycin
Oseltamivir,INTERACTS_WITH,Tazobactam
Iothalamic acid,INTERACTS_WITH,Niflumic acid
Nizofenone,INTERACTS_WITH,Nisoldipine
Gancotamab,INTERACTS_WITH,Veltuzumab
Aminophylline,INTERACTS_WITH,Phenylpropanolamine
Ceprotin,MANUFACTURED_BY,Baxalta Us Inc
Elocalcitol,INTERACTS_WITH,Methyclothiazide
6.952,AVAILABLE_AT,Vons Pharmacy
arterial occlusive disease,TREATED_BY,Metronidazole
Bendroflumethiazide,INTERACTS_WITH,Cabergoline
Salvinorin A,INTERACTS_WITH,Paroxetine
162.38,AVAILABLE_AT,Rite Aid
Vitamin A,IN_PRODUCT,400 Vitamin A 10000iu
Rayos,HAS_PRICE,2875.06
Progabide,INTERACTS_WITH,Trihexyphenidyl
127.5,AVAILABLE_AT,Walmart
Yohimbine,INTERACTS_WITH,Imidapril
Disulfiram,INTERACTS_WITH,Valinomycin
"3-Aza-2,3-Dihydrogeranyl Diphosphate",INTERACTS_WITH,Nitroprusside
Human C1-esterase inhibitor,INTERACTS_WITH,Megestrol acetate
Aclidinium,INTERACTS_WITH,Flavoxate
Iobenguane sulfate I-123,INTERACTS_WITH,Antipyrine
Sulbenicillin,INTERACTS_WITH,Sarecycline
Phenol,IN_PRODUCT,"Blistex Medicated Lip Balm Variety Pack (Blistex Medicated Berry Lip Balm, Blistex Medicated Lip Balm, Blistex Medicated Lip)"
Tulobuterol,INTERACTS_WITH,Aliskiren
"S,R-Warfarin alcohol",INTERACTS_WITH,Quinupristin
Obiltoxaximab,INTERACTS_WITH,Formononetin
Agalsidase beta,IN_PRODUCT,Replagal
Ditiocarb,INTERACTS_WITH,Netupitant
Calcium Phosphate,INTERACTS_WITH,Nalidixic acid
Mechlorethamine,INTERACTS_WITH,Chloramphenicol
"4-Bromo-2,5-dimethoxyphenethylamine",INTERACTS_WITH,Thioridazine
Etifoxine,INTERACTS_WITH,Isopropamide
23.93,AVAILABLE_AT,Albertsons (Sav-on)
143.69,AVAILABLE_AT,Vons Pharmacy
Briakinumab,INTERACTS_WITH,Lenalidomide
Meptazinol,INTERACTS_WITH,Ritanserin
7-ethyl-10-hydroxycamptothecin,INTERACTS_WITH,Astemizole
Ractopamine,INTERACTS_WITH,Quinapril
Entacapone Teva,HAS_PRICE,71.687
Fluclorolone,INTERACTS_WITH,Ifosfamide
Esmirtazapine,INTERACTS_WITH,Indapamide
Rokitamycin,INTERACTS_WITH,Sirolimus
Aripiprazole lauroxil,INTERACTS_WITH,Etoposide
Phenethylamine,INTERACTS_WITH,Metyrosine
Adinazolam,INTERACTS_WITH,Ritanserin
Omacetaxine mepesuccinate,INTERACTS_WITH,Otamixaban
Tetryzoline,IN_PRODUCT,Careone Eye Drops Seasonal Relief
Bisacodyl,INTERACTS_WITH,Cyproheptadine
Mebicar,INTERACTS_WITH,Profenamine
Solabegron,INTERACTS_WITH,Trimethaphan
Detomidine,INTERACTS_WITH,Hydralazine
Naftopidil,INTERACTS_WITH,Eletriptan
Efonidipine,INTERACTS_WITH,Epicaptopril
Nicergoline,INTERACTS_WITH,Icosapent
Nicergoline,INTERACTS_WITH,Linsidomine
Silicon dioxide,IN_PRODUCT,Dr. Zenni Kids tooth (Baby)
Promegestone,INTERACTS_WITH,Idraparinux
Aprobarbital,INTERACTS_WITH,Desvenlafaxine
Ramiprilat,INTERACTS_WITH,Midodrine
Valomaciclovir,INTERACTS_WITH,Diethylpropion
Piracetam,INTERACTS_WITH,Methotrexate
Glimepiride,INTERACTS_WITH,Tipranavir
rickets,TREATED_BY,Calcitriol
Bacampicillin,INTERACTS_WITH,Dienogest
Depatuxizumab mafodotin,INTERACTS_WITH,Indium In-111 satumomab pendetide
Lamivudine,INTERACTS_WITH,Omeprazole
Solifenacin,INTERACTS_WITH,Bietaserpine
Levonorgestrel,INTERACTS_WITH,Hydrocortisone acetate
Octreotide,INTERACTS_WITH,(S)-Warfarin
Naluzotan,INTERACTS_WITH,Lacidipine
Beta carotene,IN_PRODUCT,Active FE
Poa annua pollen,INTERACTS_WITH,Labetalol
Lamivudine Teva Pharma B.v.,HAS_PRICE,417.786
Minocin,HAS_PRICE,21.5601
Lumefantrine,INTERACTS_WITH,(S)-Warfarin
Metrifonate,INTERACTS_WITH,Procaine
Catumaxomab,INTERACTS_WITH,Estradiol
Gentamicin,INTERACTS_WITH,Clometocillin
Zalutumumab,INTERACTS_WITH,Inotuzumab ozogamicin
Acalabrutinib,INTERACTS_WITH,Fluticasone furoate
Mifepristone,INTERACTS_WITH,Brentuximab vedotin
Survanta,MANUFACTURED_BY,AbbVie Inc.
Lanthanum carbonate,INTERACTS_WITH,Spirapril
Chromium nicotinate,INTERACTS_WITH,Tenoxicam
Methylprednisolone hemisuccinate,INTERACTS_WITH,Coumarin
Niravam,HAS_PRICE,20.4846
Patupilone,INTERACTS_WITH,Disopyramide
Medazepam,INTERACTS_WITH,Brimonidine
Bismuth subcarbonate,INTERACTS_WITH,Thioproperazine
Apomorphine,INTERACTS_WITH,Alaproclate
Oxymetholone,INTERACTS_WITH,Dicoumarol
Cyclobenzaprine,INTERACTS_WITH,Suvorexant
Lacosamide,INTERACTS_WITH,Methylphenobarbital
Exemestane,INTERACTS_WITH,Phenytoin
Ferumoxsil,INTERACTS_WITH,Methyldopa
Fluticasone,INTERACTS_WITH,Interferon alfa-2b
Psilocybin,INTERACTS_WITH,Sibutramine
Octinoxate,INTERACTS_WITH,Latamoxef
Hygromycin B,INTERACTS_WITH,Cymarin
Segesterone acetate,INTERACTS_WITH,Oritavancin
Bumetanide,INTERACTS_WITH,Tenofovir alafenamide
Sevoflurane,INTERACTS_WITH,Rauwolfia serpentina root
Xylazine,INTERACTS_WITH,Captopril
Clorindione,INTERACTS_WITH,Fluticasone
Rifamycin,INTERACTS_WITH,Erlotinib
Cenobamate,INTERACTS_WITH,Uric acid
Fentiazac,INTERACTS_WITH,Phentermine
Polatuzumab vedotin,INTERACTS_WITH,Estriol
Zimelidine,INTERACTS_WITH,Phenazocine
Arachidonic Acid,INTERACTS_WITH,Sulfinpyrazone
Valdecoxib,INTERACTS_WITH,Norepinephrine
Rimonabant,INTERACTS_WITH,Dexetimide
Deoxyspergualin,INTERACTS_WITH,Pemetrexed
Amprenavir,INTERACTS_WITH,Ritanserin
Oxabolone cipionate,INTERACTS_WITH,Indomethacin
24.205,AVAILABLE_AT,CVS Pharmacy
Tramazoline,INTERACTS_WITH,Olmesartan
Metreleptin,INTERACTS_WITH,Vemurafenib
CR002,INTERACTS_WITH,"Synthetic Conjugated Estrogens, A"
Gemeprost,INTERACTS_WITH,Hydrochlorothiazide
Kit for the Preparation of Technetium Tc99m Disofenin,MANUFACTURED_BY,"Pharmalucence, Inc."
72.4401,AVAILABLE_AT,Rite Aid
Tasimelteon,INTERACTS_WITH,Zimelidine
Rilpivirine,INTERACTS_WITH,Entinostat
Mazaticol,INTERACTS_WITH,Disopyramide
Rubella virus vaccine,INTERACTS_WITH,Temozolomide
Influenza A virus A/Brisbane/59/2007(H1N1) antigen (propiolactone inactivated),INTERACTS_WITH,Fluorouracil
Pramlintide,INTERACTS_WITH,Lamotrigine
OB Complete Gold,MANUFACTURED_BY,"Vertical Pharmaceuticals, LLC"
Sulfamerazine,INTERACTS_WITH,Sunitinib
Apolizumab,INTERACTS_WITH,Epratuzumab
Glycyrrhizic acid,INTERACTS_WITH,Astemizole
Loperamide,INTERACTS_WITH,Flibanserin
Ibipinabant,INTERACTS_WITH,Mazaticol
Pralatrexate,INTERACTS_WITH,Hydroxyurea
Alteplase,INTERACTS_WITH,Ibrutinib
Corifollitropin alfa,INTERACTS_WITH,Hydrolyzed Cephalothin
Betoptic,HAS_PRICE,39.318
Cosentyx,MANUFACTURED_BY,Novartis
Quinapril,INTERACTS_WITH,Ergotamine
Betrixaban,INTERACTS_WITH,Edoxaban
Bendamustine,INTERACTS_WITH,Melphalan
Chlorcyclizine,INTERACTS_WITH,Nimodipine
Nevirapine,INTERACTS_WITH,Primaquine
Hydroflumethiazide,INTERACTS_WITH,Acepromazine
Novobiocin,INTERACTS_WITH,Ranitidine
"2,5-Dimethoxy-4-ethylamphetamine",INTERACTS_WITH,Nicorandil
11.4,AVAILABLE_AT,GeniusRx
Deramciclane,INTERACTS_WITH,Orlistat
Metildigoxin,INTERACTS_WITH,Flurbiprofen
Edetate calcium disodium anhydrous,INTERACTS_WITH,Sugammadex
Methyclothiazide,INTERACTS_WITH,Insulin human
Albaconazole,INTERACTS_WITH,Niguldipine
Guanfacine,INTERACTS_WITH,Benazeprilat
Sulfaisodimidine,INTERACTS_WITH,Saxagliptin
Riociguat,INTERACTS_WITH,Dimetacrine
Prilosec,HAS_PRICE,24.1861
Doxercalciferol,INTERACTS_WITH,Calcium carbonate
Ritonavir,IN_PRODUCT,Kaletra
Sipuleucel-T,INTERACTS_WITH,Etanercept
supraventricular tachycardia,TREATED_BY,Sotalol
Magnesium Aluminum Silicate,INTERACTS_WITH,Gallamine triethiodide
Selamectin,INTERACTS_WITH,Oxtriphylline
Pseudoephedrine,INTERACTS_WITH,Deserpidine
Omalizumab,INTERACTS_WITH,Daclizumab
Phenmetrazine,INTERACTS_WITH,Bevantolol
Tobramycin,INTERACTS_WITH,Tenofovir alafenamide
Zafirlukast,MANUFACTURED_BY,"Par Pharmaceutical, Inc."
Deserpidine,INTERACTS_WITH,Arformoterol
Eliglustat,IN_PRODUCT,Cerdelga
Citrulline,INTERACTS_WITH,Rifampicin
Azithromycin,INTERACTS_WITH,Vandetanib
Magnesium acetate tetrahydrate,INTERACTS_WITH,Cinnarizine
Sarecycline,INTERACTS_WITH,Magnesium lactate
Protocatechualdehyde,INTERACTS_WITH,Coumarin
Maxacalcitol,INTERACTS_WITH,Methoxy polyethylene glycol-epoetin beta
Methotrexate,INTERACTS_WITH,Procarbazine
Nadolol,INTERACTS_WITH,Frovatriptan
Medifoxamine,INTERACTS_WITH,Warfarin
Dantron,IN_PRODUCT,Doss Tab
10.9006,AVAILABLE_AT,Albertsons (Sav-on)
Phensuximide,INTERACTS_WITH,Mianserin
Cyclobenzaprine,IN_PRODUCT,Amrix
Juglans Regia Pollen,MANUFACTURED_BY,"ALK-Abello, Inc."
Calcium silicate,INTERACTS_WITH,Mesoridazine
Fosnetupitant,INTERACTS_WITH,Alprazolam
Flunoxaprofen,INTERACTS_WITH,Phendimetrazine
Monomethyl fumarate,INTERACTS_WITH,Alemtuzumab
Talopram,INTERACTS_WITH,Oxybutynin
Enzalutamide,INTERACTS_WITH,Erlotinib
Carbutamide,INTERACTS_WITH,Ofloxacin
Trastuzumab deruxtecan,INTERACTS_WITH,Formononetin
"(1,2,6,7-3H)Testosterone",INTERACTS_WITH,Epoprostenol
"Antihemophilic factor, human recombinant",INTERACTS_WITH,(S)-Warfarin
Gantacurium,INTERACTS_WITH,Fluvoxamine
Molsidomine,INTERACTS_WITH,Isradipine
Loracarbef,INTERACTS_WITH,Cefuroxime
Reproterol,INTERACTS_WITH,Methyldopa
Bermekimab,INTERACTS_WITH,Ranibizumab
Muraglitazar,INTERACTS_WITH,Enzalutamide
Blueberry,MANUFACTURED_BY,"Nelco Laboratories, Inc."
Prothipendyl,INTERACTS_WITH,Propiomazine
Gabexate,INTERACTS_WITH,Icosapent
Metformin,INTERACTS_WITH,Iopromide
Moricizine,INTERACTS_WITH,Sibutramine
Duloxetine,IN_PRODUCT,Ag-duloxetine
Suprofen,INTERACTS_WITH,Niflumic acid
Risedronic acid,INTERACTS_WITH,Esomeprazole
597.996,AVAILABLE_AT,Ralphs
Emetonium iodide,INTERACTS_WITH,Phenazocine
Sulfaguanidine,INTERACTS_WITH,Insulin human
TNX-901,INTERACTS_WITH,Epratuzumab
Moxifloxacin,IN_PRODUCT,Avelox
Cleocin,HAS_PRICE,14.1
Bavituximab,INTERACTS_WITH,IGN311
Fluclorolone,INTERACTS_WITH,Interferon alfa-n1
Technetium Tc-99m exametazime,INTERACTS_WITH,Nimesulide
Fluvastatin,INTERACTS_WITH,Trabectedin
Olodaterol,INTERACTS_WITH,Pinacidil
generalized anxiety disorder,TREATED_BY,Quetiapine
Protirelin,INTERACTS_WITH,Fenoterol
Talniflumate,INTERACTS_WITH,Moclobemide
Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated),IN_PRODUCT,Fluvirin
Herbal Laxative Formula,MANUFACTURED_BY,Wn Pharmaceuticals Ltd.
Hexapropymate,INTERACTS_WITH,Brimonidine
Boldenone,INTERACTS_WITH,Streptokinase
Ciprofibrate,INTERACTS_WITH,Indinavir
Cannabinol,INTERACTS_WITH,Ephedrine
Relenza,HAS_PRICE,62.2132
Methylergometrine,IN_PRODUCT,Methergine
Fentiazac,INTERACTS_WITH,Iproniazid
Meticrane,INTERACTS_WITH,Zinc
Grepafloxacin,INTERACTS_WITH,Nateglinide
Idelalisib,INTERACTS_WITH,Castanospermine
Minocycline,IN_PRODUCT,Solodyn
Tetracycline,INTERACTS_WITH,Iloperidone
Ixekizumab,INTERACTS_WITH,Gemtuzumab ozogamicin
Thiamine,INTERACTS_WITH,Formoterol
47.6072,AVAILABLE_AT,Walmart
JNJ-26489112,INTERACTS_WITH,Trimebutine
Dexmethylphenidate,INTERACTS_WITH,Bevantolol
2.42,AVAILABLE_AT,CVS Pharmacy
Lipiodol Ultra Fluid,MANUFACTURED_BY,Guerbet
Fluorometholone,INTERACTS_WITH,Evogliptin
Fraxiparine Forte,MANUFACTURED_BY,Aspen Pharmacare Canada Inc.
Dexrazoxane,IN_PRODUCT,Totect
Thyrotropin alfa,INTERACTS_WITH,Ornipressin
Iron,INTERACTS_WITH,Lymecycline
Pilocarpine,IN_PRODUCT,Pilocar Drops
Obinutuzumab,INTERACTS_WITH,Fluorouracil
Dexverapamil,INTERACTS_WITH,Ceritinib
Ephedrine,INTERACTS_WITH,Guanoxabenz
Metoprolol,INTERACTS_WITH,Phenmetrazine
Maraviroc,INTERACTS_WITH,Bacillus calmette-guerin substrain connaught live antigen
Catapres-TTS-1,HAS_PRICE,38.4624
Hepatitis A Vaccine,INTERACTS_WITH,Oxaliplatin
Tasosartan,INTERACTS_WITH,Azapropazone
Xenical,HAS_PRICE,709.024
Etomidate,INTERACTS_WITH,Olmesartan
3871.09,AVAILABLE_AT,Ralphs
Complexion Protection Moisturizer SPF,MANUFACTURED_BY,USRX LLC
Alosetron,INTERACTS_WITH,Tridihexethyl
Perflutren,INTERACTS_WITH,Pimozide
Dihydralazine,INTERACTS_WITH,Yohimbine
Ferulic acid,INTERACTS_WITH,Chenodeoxycholic acid
Tiopronin,INTERACTS_WITH,Cefuroxime
Vinbarbital,INTERACTS_WITH,Escitalopram
Colchicine,INTERACTS_WITH,Bevacizumab
Carisoprodol,MANUFACTURED_BY,"Aphena Pharma Solutions Tennessee, Inc."
Levothyroxine,IN_PRODUCT,Eltroxin 150 Tab
Ceforanide,INTERACTS_WITH,Cefpodoxime
Prednylidene,INTERACTS_WITH,Nelarabine
Ceftolozane,INTERACTS_WITH,Cefamandole
Calcium acetate,INTERACTS_WITH,Oxytetracycline
Alyssa Ashley Musk Creme Desodor. A Bille,MANUFACTURED_BY,Parfums Alyssa Ashley Inc.
Piroxicam,IN_PRODUCT,Apo Piroxicam Cap 20mg
Armodafinil,INTERACTS_WITH,Acalabrutinib
Phenethylamine,INTERACTS_WITH,Levomilnacipran
Agarol With Sennosides,MANUFACTURED_BY,"Numark Laboratories, Inc."
Estradiol acetate,IN_PRODUCT,Femring
Streptokinase,INTERACTS_WITH,"Synthetic Conjugated Estrogens, A"
Trazodone,INTERACTS_WITH,Guanadrel
Antihemophilic factor human,INTERACTS_WITH,Tioclomarol
4.9756,AVAILABLE_AT,Vons Pharmacy
restless legs syndrome,TREATED_BY,Pregabalin
Lorcaserin,INTERACTS_WITH,Nabilone
Procaine benzylpenicillin,INTERACTS_WITH,Diclofenac
Fentiazac,INTERACTS_WITH,Bromocriptine
Choline C 11,MANUFACTURED_BY,"Global Isotopes, Llc D/B/A Zevacor Molecular"
IGN311,INTERACTS_WITH,Ustekinumab
Chlorthalidone,IN_PRODUCT,Atenolol and Chlorthalidone
Bamet-UD2,INTERACTS_WITH,Fluindione
Ublituximab,INTERACTS_WITH,CT-011
Vadastuximab Talirine,INTERACTS_WITH,Gemtuzumab ozogamicin
Elimite,HAS_PRICE,21.985
Zileuton,INTERACTS_WITH,Nalidixic acid
Difenpiramide,INTERACTS_WITH,Ergotamine
Methadone,IN_PRODUCT,Methadone HCl
Bordetella pertussis pertactin antigen (formaldehyde inactivated),IN_PRODUCT,Kinrix
Bosutinib,INTERACTS_WITH,Pentostatin
Benzhydrocodone,INTERACTS_WITH,Pseudoephedrine
Difemerine,INTERACTS_WITH,Opium
Midecamycin,INTERACTS_WITH,Dicoumarol
Hyaluronidase,INTERACTS_WITH,Fluocortin
Hydrocortisone succinate,INTERACTS_WITH,Aldesleukin
Taranabant,INTERACTS_WITH,Bevonium
Celiprolol,INTERACTS_WITH,Mometasone
Iloprost,INTERACTS_WITH,Estrone sulfate
Pexidartinib,INTERACTS_WITH,Fulvestrant
Albutrepenonacog alfa,INTERACTS_WITH,Letaxaban
Modafinil,IN_PRODUCT,Auro-modafinil
Pidilizumab,INTERACTS_WITH,Indium In-111 satumomab pendetide
Vicriviroc,INTERACTS_WITH,Isavuconazole
Calcium,INTERACTS_WITH,Estramustine
pulmonary embolism,TREATED_BY,Apixaban
Pirfenidone,INTERACTS_WITH,"Interferon alfa-2a, Recombinant"
Fluarix Quadrivalent 2019/2020,MANUFACTURED_BY,GlaxoSmithKline Biologicals SA
Monopotassium phosphate,INTERACTS_WITH,Mebeverine
Piceatannol,INTERACTS_WITH,Liotrix
349.334,AVAILABLE_AT,"Community, a Walgreens Pharmacy"
22.7625,AVAILABLE_AT,Pavilions Pharmacy
Manidipine,INTERACTS_WITH,Obinutuzumab
Corzall PE,MANUFACTURED_BY,"Hawthorn Pharmaceuticals, Inc."
Fibrinolysin,INTERACTS_WITH,Esterified estrogens
NGX267,INTERACTS_WITH,Landiolol
Paxil,HAS_PRICE,8.7458
Ava-carvedilol,MANUFACTURED_BY,Avanstra Inc
Flutamide,INTERACTS_WITH,Sulindac
Delorazepam,INTERACTS_WITH,Trospium
AccuHist,MANUFACTURED_BY,"Tiber Laboratories, LLC"
Alanine,IN_PRODUCT,2.75% Travasol Amino Acid Injection With Electrolytes In 5% Dextrose Quickmix
Herbal Relax,MANUFACTURED_BY,"Wampole Brands, A Division Of Pangeo Pharma (Canada) Inc."
Carvedilol,INTERACTS_WITH,Teriflunomide
NovoLog,HAS_SIDE_EFFECT,Chest pain
DDAVP,HAS_PRICE,27.58
223.692,AVAILABLE_AT,CVS Pharmacy
Zanamivir,INTERACTS_WITH,Ibuprofen
Ubrogepant,INTERACTS_WITH,Selexipag
Certolizumab pegol,INTERACTS_WITH,Lenalidomide
Dimetacrine,INTERACTS_WITH,Epanolol
Sulfaquinoxaline,INTERACTS_WITH,Acarbose
Josamycin,INTERACTS_WITH,Estazolam
Dalfopristin,INTERACTS_WITH,Ibrutinib
Xenical,HAS_PRICE,709.024
Zarzio,HAS_PRICE,1401.0
Flufenamic acid,INTERACTS_WITH,Ceftizoxime
Gadofosveset trisodium,INTERACTS_WITH,Triamterene
Histrelin,IN_PRODUCT,Supprelin LA
Dantron,INTERACTS_WITH,Hexocyclium
Phenelzine,INTERACTS_WITH,Perampanel
Profenamine,INTERACTS_WITH,Dipyridamole
Favipiravir,INTERACTS_WITH,Saquinavir
Gedocarnil,INTERACTS_WITH,Thalidomide
Nizatidine,IN_PRODUCT,Nizatidine
Dulaglutide,INTERACTS_WITH,"Synthetic Conjugated Estrogens, A"
Zaltoprofen,INTERACTS_WITH,Phenylpropanolamine
Cinchocaine,INTERACTS_WITH,Darifenacin
Ganciclovir,INTERACTS_WITH,Clofarabine
Isosorbide,INTERACTS_WITH,Carbamazepine
Triptorelin,HAS_SIDE_EFFECT,Influenza
head and neck squamous cell carcinoma,TREATED_BY,Nivolumab
Troleandomycin,INTERACTS_WITH,Tioclomarol
Tolazamide,INTERACTS_WITH,Sparfloxacin
Enrofloxacin,INTERACTS_WITH,Ferric oxyhydroxide
Acebutolol,INTERACTS_WITH,Diazoxide
363.504,AVAILABLE_AT,Costco
Thiopyrophosphate,INTERACTS_WITH,Magnesium aspartate
Emetine,INTERACTS_WITH,Rosuvastatin
Ellagic acid,INTERACTS_WITH,Taurocholic acid
18.0001,AVAILABLE_AT,Albertsons (Sav-on)
Picosulfuric acid,INTERACTS_WITH,Tobramycin
Pramipexole,INTERACTS_WITH,Ethchlorvynol
Sodium sulfate,INTERACTS_WITH,Dosulepin
Phthalylsulfathiazole,INTERACTS_WITH,Disopyramide
Tryptophan,INTERACTS_WITH,Nialamide
Almotriptan,IN_PRODUCT,Axert
Dexpanthenol,INTERACTS_WITH,Cefotiam
Propentofylline,INTERACTS_WITH,Lithium carbonate
Benserazide,INTERACTS_WITH,Ziprasidone
Ipecac,INTERACTS_WITH,Tegaserod
Fentanyl,IN_PRODUCT,Abstral fentanyl
Terguride,INTERACTS_WITH,Trichlormethiazide
Lobucavir,INTERACTS_WITH,Chlorphentermine
ORM-12741,INTERACTS_WITH,Tretoquinol
Artenimol,INTERACTS_WITH,Selumetinib
Cinazepam,INTERACTS_WITH,Phenytoin
Argatroban,INTERACTS_WITH,Promestriene
Versacloz,HAS_PRICE,818.3
8-azaguanine,INTERACTS_WITH,Teriflunomide
Chlorsulfaquinoxaline,INTERACTS_WITH,Miglitol
